column,median
k_111_dy,37.0
k_117_dy,71.5
k_118_dy,57.0
k_119_dy,52.0
k_121_dy,89.0
k_125_dy,51.0
k_126_dy,67.0
k_127_dy,82.0
k_128_dy,26.0
k_130_dy,71.5
k_131_dy,51.0
k_132_dy,67.0
k_133_dy,69.0
k_134_dy,52.0
k_135_dy,61.0
k_136_dy,39.0
k_137_dy,65.0
k_138_dy,36.0
k_143_dy,54.0
k_144_dy,60.0
k_147_dy,58.0
k_149_dy,-342.0
k_150_dy,74.0
k_151_dy,49.0
k_152_dy,59.0
k_156_dy,56.0
k_157_dy,77.0
k_158_dy,77.0
k_159_dy,64.0
k_162_dy,65.0
k_163_dy,66.0
k_164_dy,49.0
k_165_dy,40.0
k_166_dy,61.0
k_168_dy,62.0
k_169_dy,55.5
k_173_dy,55.0
k_176_dy,77.0
k_177_dy,86.5
k_178_dy,80.0
k_179_dy,75.0
k_180_dy,96.0
k_181_dy,85.0
k_182_dy,79.0
k_183_dy,87.0
k_184_dy,87.0
k_185_dy,89.5
k_186_dy,83.5
k_188_dy,107.5
k_191_dy,94.0
k_193_dy,91.5
k_194_dy,95.5
k_195_dy,86.0
k_196_dy,92.5
k_197_dy,57.0
k_198_dy,99.0
k_199_dy,97.5
k_201_dy,81.0
k_202_dy,81.0
k_204_dy,69.0
k_205_dy,89.5
k_206_dy,85.5
k_207_dy,112.0
k_210_dy,88.0
k_211_dy,94.5
k_212_dy,103.0
k_214_dy,82.5
k_220_dy,78.5
k_221_dy,86.0
k_229_dy,86.0
k_230_dy,78.5
k_231_dy,82.5
k_234_dy,81.0
k_235_dy,82.0
k_238_dy,115.0
k_240_dy,121.0
k_243_dy,118.0
k_244_dy,113.5
k_245_dy,87.0
k_248_dy,79.0
k_250_dy,130.0
k_251_dy,108.5
k_252_dy,143.0
k_253_dy,148.0
k_254_dy,168.0
k_255_dy,153.0
k_256_dy,169.5
k_259_dy,177.0
k_263_dy,184.0
k_266_dy,211.0
k_272_dy,230.5
k_277_dy,264.5
k_278_dy,295.5
k_279_dy,295.5
k_281_dy,357.0
k_282_dy,360.5
k_283_dy,293.0
k_284_dy,379.0
k_286_dy,479.0
k_290_dy,209.0
k_301_dy,319.0
